Variable_Type,Dependent_Variable_Index,Most_Influential_PCA_Component,Max_Coefficient,Mean_Coefficient,Std_Coefficient,Coefficient_Value_1,Coefficient_Value_2,Coefficient_Value_3,Coefficient_Value_4,Coefficient_Value_5,Coefficient_Value_6,Coefficient_Value_7,Coefficient_Value_8,Coefficient_Value_9,Coefficient_Value_10,Coefficient_Value_11,Coefficient_Value_12,Coefficient_Value_13,Coefficient_Value_14,Coefficient_Value_15,Coefficient_Value_16
Curvatures,40,3,0.04625684931693801,0.019219063856253965,0.013777957427048675,0.007275164236247091,0.04002641098942853,0.03366155577015626,0.04625684931693801,0.008977668155636411,0.016335162255417958,0.000311549472392114,0.03935062398790238,0.02548358356851595,0.017389104884873004,0.023147217367955997,0.0003038270720746492,0.011687967799831075,0.01697324545741113,0.00866331968971367,0.011661771675569189
Curvatures,41,3,0.059605825058738536,0.01723792010182386,0.015332743794393306,0.04208660595101715,0.025465082751944222,0.009692537940019355,0.059605825058738536,0.005527533259557712,0.008795106060945052,0.0005998679397557657,0.029321217673614487,0.02492412966519436,0.01157426871670196,0.0003266887131040926,0.009906068385471513,0.008762412094700798,0.010578486950158889,0.018129753899563478,0.010511136568694393
Curvatures,42,0,0.06762275459290826,0.0145004578673694,0.01820044063800918,0.06762275459290826,0.003204348010424471,0.0157042701471581,0.05154326575735285,0.0014523730813676007,0.0018313778288145833,0.004013229349537824,0.0071267975352736915,0.012972309698248976,0.0037839420101698717,0.014538225233896291,0.014083294442473158,0.004710577456999592,1.3345054993539323e-05,0.020117999410314516,0.009289216267977074
Curvatures,43,0,0.07015487897563207,0.017116334040353346,0.01614160388709456,0.07015487897563207,0.01893360187706884,0.035457600513989204,0.027448956449528893,0.0005091728642294515,0.013656788185269015,0.007694690499146332,0.013074551032346718,0.003916155269572347,0.015593335974438023,0.02081309443534135,0.009876086644519163,0.005577650440300877,0.00862833805647731,0.011120180207694012,0.011406263220099945
Curvatures,44,0,0.06036953255950988,0.017951384337513875,0.014748084782548321,0.06036953255950988,0.03273093032859725,0.03841213977385638,0.00899501290154139,0.0029761940545982857,0.021121483425298314,0.008747854852343442,0.019674043887868198,0.016596377856815978,0.020065091434891116,0.01885608398698737,0.004090092453988995,0.006454578121606268,0.008653929905806528,0.003077040648412453,0.016401763208100134
Curvatures,45,0,0.036516667718084025,0.012257019886516679,0.011268151492095122,0.036516667718084025,0.031416489913416605,0.020423450224048022,0.0007508776906381941,0.005259295155024683,0.018862501782591277,0.004142166772140773,0.007328681767792278,0.017083522093582666,0.01937280777721953,0.007330343332302693,0.0005181754459653192,0.0015857484852420725,0.0011616424760226072,0.001665585196739883,0.022694362353456225
Curvatures,46,15,0.027572706936947,0.007796633594989803,0.006953545229105355,0.009746420446845554,0.016083752967159817,0.001980944510533203,0.00479876274920788,0.0008881660252111416,0.013192113500688343,5.265411760435528e-05,0.010500263283197302,0.007063459945915442,0.011032271830109018,0.002117958867734847,0.0009040443668920155,0.010076894860851185,0.00572000068827643,0.003015722422663309,0.027572706936947
Curvatures,47,15,0.027668748464435473,0.008255713147924164,0.007655766938946807,0.003289751901036392,0.0005366077372583615,0.015138746322952262,0.0030923201037166277,0.006559902205872079,0.0018940688153020206,0.006010265832464728,0.0182994793587409,0.0042144604148952455,0.005437182082542482,0.00038601868980172037,0.006863882777012924,0.020354240396696366,0.008427048510037992,0.003918686754021047,0.027668748464435473
Curvatures,48,12,0.025369586776745907,0.011835027545357172,0.006583431478383617,0.008078567724270312,0.014010366595678574,0.016281259712420063,0.0010328245936634265,0.012866140337706259,0.011946384298498204,0.012757798376035,0.01649947544636715,0.014604600545704591,0.001755181268419691,0.0038947198678763485,0.013771626447849643,0.025369586776745907,0.0030773904661421845,0.012767032752456673,0.020647485515880713
Curvatures,49,12,0.0205848738647553,0.01279481814162016,0.006196486411286239,0.017754602419633694,0.01821155251749058,0.00965526948385331,0.00697902806749377,0.011383344679739726,0.02044290339890449,0.018809643849363237,0.009796707407496554,0.019153082804836245,0.0016610471212389537,0.006675209732575494,0.014341244531332785,0.0205848738647553,0.0022100427833570864,0.01759371753793658,0.009464820065914753
